area,featured_name,item_id,latitude,longitude,others,price,price_per_m,rooms,subtitle,title,tracking_id,url,Lat,Lon
35 m²,listing_no_promo,49BbQ,,,Nieruchomości Regionalne,230000,6571,1 pokój,Mieszkanie na sprzedaż:,Ustawna kawalerka w doskonałej lokalizacji.,61393258,https://www.otodom.pl/pl/oferta/ustawna-kawalerka-w-doskonalej-lokalizacji-ID49BbQ.html#6a25d29cc2,52.3838118,16.9204071
65 m²,listing_no_promo,49zrk,,,Spechouse Sp. z o.o.,520000,8000,2 pokoje,Mieszkanie na sprzedaż:,Sprzedam Ładne 2 Pokoje Na Łazarzu,61386530,https://www.otodom.pl/pl/oferta/sprzedam-ladne-2-pokoje-na-lazarzu-ID49zrk.html#6a25d29cc2,52.3972009,16.9039195
"55,30 m²",listing_no_promo,49x5J,,,Expander Advisors,386547,6990,3 pokoje,Mieszkanie na sprzedaż:,"Centrum zrewitalizowana kamienica, 3 pokojowe",61377503,https://www.otodom.pl/pl/oferta/centrum-zrewitalizowana-kamienica-3-pokojowe-ID49x5J.html#6a25d29cc2,52.3943,16.90112
30 m²,listing_no_promo,49vEE,,,Sytek-Nieruchomości,249100,8303,1 pokój,Mieszkanie na sprzedaż:,"Umeblowana, nowa kawalerka 35m2 na łazarzu",61375824,https://www.otodom.pl/pl/oferta/umeblowana-nowa-kawalerka-35m2-na-lazarzu-ID49vEE.html#6a25d29cc2,52.39419,16.90572
"55,60 m²",listing_no_promo,49nqa,,,CELKA Property Sp. z o. o.,440000,7914,2 pokoje,Mieszkanie na sprzedaż:,Polecam do kupna 2-pokojowe mieszkanie po remoncie,61340330,https://www.otodom.pl/pl/oferta/polecam-do-kupna-2-pokojowe-mieszkanie-po-remoncie-ID49nqa.html#6a25d29cc2,52.4011,16.9086
"43,80 m²",listing_no_promo,49nbz,,,KAROLCZAK NIERUCHOMOŚCI,325000,7420,2 pokoje,Mieszkanie na sprzedaż:,"Małe mieszkanie na Łazarzu, parking,piwnica",61339425,https://www.otodom.pl/pl/oferta/male-mieszkanie-na-lazarzu-parking-piwnica-ID49nbz.html#6a25d29cc2,52.3925258,16.9029755
"157,30 m²",listing_no_promo,48bry,,,Bylewscy Nieruchomości Anna Bylewska,710000,4514,5 pokoi,Mieszkanie na sprzedaż:,Duże mieszkanie z potencjałem - Łazarz,61055960,https://www.otodom.pl/pl/oferta/duze-mieszkanie-z-potencjalem-lazarz-ID48bry.html#6a25d29cc2,52.40239,16.88967
"143,48 m²",listing_no_promo,44oOH,,,Obsługa zdalna Advestor Premium House,1990000,13870,3 pokoje,Mieszkanie na sprzedaż:,Wygodny apartament w City Parku z miejscem w hali!,60154055,https://www.otodom.pl/pl/oferta/wygodny-apartament-w-city-parku-z-miejscem-w-hali-ID44oOH.html#6a25d29cc2,52.3992665,16.8957936
49 m²,listing_no_promo,49aIV,,,Live in Poznan,389000,7939,3 pokoje,Mieszkanie na sprzedaż:,Bezpośrednio - 3pok - 48m2 - wysoki standard,61291522,https://www.otodom.pl/pl/oferta/bezposrednio-3pok-48m2-wysoki-standard-ID49aIV.html#6a25d29cc2,52.3938862,16.9044617
62 m²,listing_no_promo,499BK,,,Biuro Obrotu Nieruchomościami 5 Aleja Anna Popielska,405000,6532,3 pokoje,Mieszkanie na sprzedaż:,3 pokoje ul Kossaka Jeżyce,61287232,https://www.otodom.pl/pl/oferta/3-pokoje-ul-kossaka-jezyce-ID499BK.html#6a25d29cc2,52.39409,16.8938
"52,30 m²",listing_no_promo,499hr,,,Pietras Nieruchomości,389000,7438,2 pokoje,Mieszkanie na sprzedaż:,Doskonała Inwestycja Pod Wynajem,61285973,https://www.otodom.pl/pl/oferta/doskonala-inwestycja-pod-wynajem-ID499hr.html#6a25d29cc2,52.39178723,16.89478397
"82,50 m²",listing_no_promo,499eS,,,Bonus Nieruchomości,479000,5806,5 pokoi,Mieszkanie na sprzedaż:,Zyskowna Inwestycja # 5 pokoi # Łazarz # 2 piwnice,61285814,https://www.otodom.pl/pl/oferta/zyskowna-inwestycja-5-pokoi-lazarz-2-piwnice-ID499eS.html#6a25d29cc2,52.39517363,16.90306295
"73,30 m²",listing_no_promo,499dP,,,Bonus Nieruchomości,479000,6535,5 pokoi,Mieszkanie na sprzedaż:,Przestrzenne 5 pokoi na poznańskim Łazarzu !,61285749,https://www.otodom.pl/pl/oferta/przestrzenne-5-pokoi-na-poznanskim-lazarzu-ID499dP.html#6a25d29cc2,52.39517363,16.90306295
"81,56 m²",listing_no_promo,4996n,,,VanDer Haus Nieruchomości Sp. z o.o.,729900,8949,3 pokoje,Mieszkanie na sprzedaż:,Gotowiec inwestycyjny - pakiet 3 kawalerek 8% Roi,61285287,https://www.otodom.pl/pl/oferta/gotowiec-inwestycyjny-pakiet-3-kawalerek-8-roi-ID4996n.html#6a25d29cc2,52.3938546,16.9048007
"34,52 m²",listing_no_promo,4967O,,,Bonus Nieruchomości,314000,9096,1 pokój,Mieszkanie na sprzedaż:,Mieszkanie z duszą * w kamienicy * ul. Strusia,61273844,https://www.otodom.pl/pl/oferta/mieszkanie-z-dusza-w-kamienicy-ul-strusia-ID4967O.html#6a25d29cc2,52.3966564,16.9037293
"126,74 m²",listing_no_promo,46tkD,,,Ślemp Nieruchomości Radosław Ślemp,1001246,7900,4 pokoje,Mieszkanie na sprzedaż:,Apartament z tarasem w eleganckiej kamienicy,60648067,https://www.otodom.pl/pl/oferta/apartament-z-tarasem-w-eleganckiej-kamienicy-ID46tkD.html#6a25d29cc2,52.39855669,16.89905405
"37,02 m²",listing_no_promo,492qz,,,Browwar Nieruchomości,330000,8914,2 pokoje,Mieszkanie na sprzedaż:,2 mikrokawalerki na 1 Kw Poznań Łazarz,61259631,https://www.otodom.pl/pl/oferta/2-mikrokawalerki-na-1-kw-poznan-lazarz-ID492qz.html#6a25d29cc2,52.39390853,16.90383911
"125,29 m²",listing_no_promo,44j5d,,,Ślemp Nieruchomości Radosław Ślemp,989791,7900,4 pokoje,Mieszkanie na sprzedaż:,Apartament Kamienica Winda Balkon.,60132015,https://www.otodom.pl/pl/oferta/apartament-kamienica-winda-balkon-ID44j5d.html#6a25d29cc2,52.3993728,16.8982172
56 m²,listing_no_promo,48Ymz,,,Obsługa zdalna Domurat,439000,7839,3 pokoje,Mieszkanie na sprzedaż:,Dwa mieszkania - pakiet do najmu,61244007,https://www.otodom.pl/pl/oferta/dwa-mieszkania-pakiet-do-najmu-ID48Ymz.html#6a25d29cc2,52.392355,16.8971021
73 m²,listing_no_promo,48WAq,,,Vesta Nieruchomości,389000,5329,4 pokoje,Mieszkanie na sprzedaż:,Poddasze do adaptacji na dwa mieszkania,61233334,https://www.otodom.pl/pl/oferta/poddasze-do-adaptacji-na-dwa-mieszkania-ID48WAq.html#6a25d29cc2,52.3967152,16.9036663
"73,60 m²",listing_no_promo,48M7R,,,NIERUCHOMOŚCI-KWADRAT,540000,7337,3 pokoje,Mieszkanie na sprzedaż:,"Mieszkanie, 73,60 m², Poznań",61196967,https://www.otodom.pl/pl/oferta/mieszkanie-73-60-m-poznan-ID48M7R.html#6a25d29cc2,52.39409,16.8938
37 m²,listing_no_promo,48EOK,,,Partner Nieruchomości Agnieszka Kuzera,329000,8892,2 pokoje,Mieszkanie na sprzedaż:,"Inwestycyjne, Łazarz , Idealne Pod Wynajem",61168874,https://www.otodom.pl/pl/oferta/inwestycyjne-lazarz-idealne-pod-wynajem-ID48EOK.html#6a25d29cc2,52.39409,16.8938
55 m²,listing_no_promo,48toW,,,Esclusiva Nieruchomości Wioletta Sochan,465000,8455,3 pokoje,Mieszkanie na sprzedaż:,Nowoczesne Mieszkanie w Super Lokalizacji,61124989,https://www.otodom.pl/pl/oferta/nowoczesne-mieszkanie-w-super-lokalizacji-ID48toW.html#6a25d29cc2,52.3925258,16.9029755
"67,77 m²",listing_no_promo,48kAr,,,VanDer Haus Nieruchomości Sp. z o.o.,582822,8600,3 pokoje,Mieszkanie na sprzedaż:,Połączenie historii i współczesności,61091107,https://www.otodom.pl/pl/oferta/polaczenie-historii-i-wspolczesnosci-ID48kAr.html#6a25d29cc2,52.39869181,16.90070629
