area,featured_name,item_id,latitude,longitude,others,price,price_per_m,rooms,subtitle,title,tracking_id,url,Lat,Lon,Const_Stat,ownership
"47,02 m²",listing_no_promo,455Cy,,,Oferta prywatna,410000.0,8720.0,2 pokoje,Mieszkanie na sprzedaż:,"Ciche mieszkanie, Jeżyce, Bamberski Dwór",60318594,https://www.otodom.pl/oferta/ciche-mieszkanie-jezyce-bamberski-dwor-ID455Cy.html#2bd0e70758,52.41736594465185,16.90511914590757,"[""ready_to_use""]",no data
"53,50 m²",listing_no_promo,46D2B,,,Oferta prywatna,599000.0,11196.0,2 pokoje,Mieszkanie na sprzedaż:,"Mieszkanie 2 pok. 53,5 mkw Zajezdnia II Jeżyce",60685389,https://www.otodom.pl/oferta/mieszkanie-2-pok-53-5-mkw-zajezdnia-ii-jezyce-ID46D2B.html#2bd0e70758,52.4085739,16.907196600000002,"[""ready_to_use""]","[""full_ownership""]"
58 m²,listing_no_promo,46D1f,,,Oferta prywatna,441000.0,7603.0,3 pokoje,Mieszkanie na sprzedaż:,"Mieszkanie ul. Strzeszyńska, BEZ POŚREDNIKÓW",60685305,https://www.otodom.pl/oferta/mieszkanie-ul-strzeszynska-bez-posrednikow-ID46D1f.html#2bd0e70758,52.454204,16.8840962,"[""ready_to_use""]","[""full_ownership""]"
"66,46 m²",listing_no_promo,46m0b,,,Obsługa zdalna Manufaktura Mieszkań,449900.0,6769.0,3 pokoje,Mieszkanie na sprzedaż:,GOTOWE | 3-pok z ogródkiem Pileckiego | STRZESZYN,60619891,https://www.otodom.pl/oferta/gotowe-3-pok-z-ogrodkiem-pileckiego-strzeszyn-ID46m0b.html#2bd0e70758,52.4467615,16.8644187,"[""ready_to_use""]","[""full_ownership""]"
135 m²,listing_no_promo,46Bm1,,,Oferta prywatna,1300000.0,9630.0,5 pokoi,Mieszkanie na sprzedaż:,"Apartament, Piętro Domu Poznań Sołacz",60678905,https://www.otodom.pl/oferta/apartament-pietro-domu-poznan-solacz-ID46Bm1.html#2bd0e70758,52.42425,16.90384,no data,no data
65 m²,listing_no_promo,46Bld,,,Oferta prywatna,550000.0,8462.0,2 pokoje,Mieszkanie na sprzedaż:,Apartament Poznań Sołacz,60678855,https://www.otodom.pl/oferta/apartament-poznan-solacz-ID46Bld.html#2bd0e70758,52.42425,16.90384,no data,no data
70 m²,listing_no_promo,46BjJ,,,Oferta prywatna,750000.0,10714.0,3 pokoje,Mieszkanie na sprzedaż:,Apartament Poznań Sołacz,60678763,https://www.otodom.pl/oferta/apartament-poznan-solacz-ID46BjJ.html#2bd0e70758,52.42425,16.90384,no data,no data
"52,14 m²",listing_no_promo,46vIa,,,Oferta prywatna,405000.0,7768.0,3 pokoje,Mieszkanie na sprzedaż:,"Strzeszyn Grecki, Poznań ul. Witolda Pileckiego",60661058,https://www.otodom.pl/oferta/strzeszyn-grecki-poznan-ul-witolda-pileckiego-ID46vIa.html#2bd0e70758,52.40827,16.93352,"[""to_completion""]","[""co_operative_ownership""]"
"43,93 m²",listing_no_promo,46c4G,,,Nieruchomości Konwerski,346818.0,7895.0,2 pokoje,Mieszkanie na sprzedaż:,Na Jeżycach! Dwa Pokoje! Balkon! Możliwość Wykończ,60581730,https://www.otodom.pl/oferta/na-jezycach-dwa-pokoje-balkon-mozliwosc-wykoncz-ID46c4G.html#2bd0e70758,52.43655,16.84479,no data,no data
"31,50 m²",listing_no_promo,468Sd,,,Biuro sprzedaży mieszkań i domów. Alpen Grupa Nieruchomości,196000.0,6222.0,1 pokój,Mieszkanie na sprzedaż:,Nowa kawalerka 31m2 z balkonem do odbioru od zaraz,60569425,https://www.otodom.pl/oferta/nowa-kawalerka-31m2-z-balkonem-do-odbioru-od-zaraz-ID468Sd.html#2bd0e70758,52.45718000000001,16.88339,no data,no data
47 m²,listing_no_promo,45wRf,,,Oferta pośrednika,450000.0,9574.0,2 pokoje,Mieszkanie na sprzedaż:,Mieszkanie 47m Zajezdnia Poznań,60419449,https://www.otodom.pl/oferta/mieszkanie-47m-zajezdnia-poznan-ID45wRf.html#2bd0e70758,52.4085739,16.907196600000002,"[""ready_to_use""]","[""full_ownership""]"
47 m²,listing_no_promo,45EzM,,,Oferta pośrednika,450000.0,9574.0,2 pokoje,Mieszkanie na sprzedaż:,Apartament Zajezdnia Poznań,60452962,https://www.otodom.pl/oferta/apartament-zajezdnia-poznan-ID45EzM.html#2bd0e70758,52.4085739,16.907196600000002,"[""ready_to_use""]","[""full_ownership""]"
"34,70 m²",listing_no_promo,45KFH,,,Oferta pośrednika,370000.0,10663.0,2 pokoje,Mieszkanie na sprzedaż:,Poznań Zajezdnia 2 pokoje,60476393,https://www.otodom.pl/oferta/poznan-zajezdnia-2-pokoje-ID45KFH.html#2bd0e70758,52.4085739,16.907196600000002,"[""ready_to_use""]","[""full_ownership""]"
